135,Kharadi,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
136,Shivaji Nagar,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
137,Balewadi,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
138,Kothrud,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
139,Magarpatta,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
140,Aundh,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
141,Kalyani Nagar,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
142,Pimpri‑Chinchwad,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
143,Bavdhan,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
144,Pimple Saudagar,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
145,Hadapsar,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
146,Yerwada,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
147,Dhanawadi,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
148,Koregaon Park (plus Koregaon Park Annexe),73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
149,Wagholi,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
150,Wakad,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
151,Talegaon Dabhade,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
152,Karve Nagar,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
153,Dhankawadi,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
154,Wadgaon Sheri,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
155,Koregaon Park Annexe,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
156,Anna Nagar,117,25,2025-07-07 19:02:41,2025-07-07 19:02:41
157,Adyar,117,25,2025-07-07 19:02:41,2025-07-07 19:02:41
158,T. Nagar,117,25,2025-07-07 19:02:41,2025-07-07 19:02:41
159,Saidapet,117,25,2025-07-07 19:02:41,2025-07-07 19:02:41
160,Vadapalani,117,25,2025-07-07 19:02:41,2025-07-07 19:02:41
161,Porur,117,25,2025-07-07 19:02:41,2025-07-07 19:02:41
162,Shenoy Nagar,117,25,2025-07-07 19:02:41,2025-07-07 19:02:41
163,"Old Mahabalipuram Road (OMR) suburbs: Velachery""",117,25,2025-07-07 19:02:41,2025-07-07 19:02:41
164,Sector 1,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
165,Sector 2,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
166,Sector 11,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
167,Sector 16,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
168,Sector 19,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
169,Sector 22,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
170,Sector 25,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
171,Sector 30,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
172,Sector 44,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
173,Sector 50,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
174,Sector 51,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
175,Sector 53,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
176,Sector 58,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
177,Sector 59,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
178,Sector 61,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
179,Sector 62,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
180,Sector 63,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
181,Sector 93 C,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
182,Sector 101,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
183,Sector 104,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
184,Sector 122,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
185,Sector 125,133,28,2025-07-07 19:02:41,2025-07-07 19:02:41
